ITEM,INSTALL,DISCIPLINE,SUBCONTRACTOR,TAG,SYSTEM,DESCRIPTION,LEVEL,PQT DW,PQT BW,GQE,OBS
52,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA06-UH01,-,Interface Cubicle OWP 5,3,,,,
53,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA07-UH01,-,Interface Cubicle OWP 6,3,,,,
54,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA08-UH01,-,Interface Cubicle OWP 7,3,,,,
55,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA11-UH01,-,Interface Cubicle OWP 8,3,,,,
56,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA12-UH01,-,Interface Cubicle OWP 9,3,,,,
57,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA13-UH01,-,Interface Cubicle OWP 10,3,,,,
58,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA14-UH01,-,Interface Cubicle OWP 11,3,,,,
59,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA15-UH01,-,Interface Cubicle OWP 12,3,,,,
60,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA16-UH01,-,Interface Cubicle OWP 13,3,,,,
61,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA17-UH01,-,Interface Cubicle OWP 14,3,,,,
62,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA19-UH01,-,Control and Protection EB Transformer 2 - QZ09 & QC09 CBs Status,3,,,,
63,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA20-UH01,-,Interface Cubicle Conv. Transformer 2B,3,,,,
64,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA21-UH01,-,Interface Cubicle Conv. Transformer 1B,3,,,,
65,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA22-UH01,-,Interface Cubicle Coupling 1A/ 1B,3,,,,
66,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA24-UH01,-,Interface Cubicle Coupling 2A/ 2B,3,,,,
67,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA26-UH01,-,Interface Cubicle Conv. Transformer 2A,3,,,,
68,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA27-UH01,-,Interface Cubicle Conv. Transformer 1A,3,,,,
69,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=131.AFA28-UH01,-,Control and Protection EB Transformer 1 - QZ09 & QC09 CBs Status,3,,,,
