ITEM,INSTALL,DISCIPLINE,SUBCONTRACTOR,TAG,SYSTEM,DESCRIPTION,LEVEL,PQT DW,PQT BW,GQE,OBS
5007,,OTHER,Cymi,#HKF.BW41=711.PAC10-QM03,-,Seawater System - MOV On-Off,1,,,,
5008,99591,OTHER,Cymi,#HKF.BW41=711.PAC10-QN01,-,Seawater System - MOV Control (2 Way),1,,,,
5009,99591,EQUIPMENT,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC10-UH02,EQUIPMENT,Seawater Lift Pumps - Terminal Box,0,,,,
5010,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC20-BF01,-,Seawater System - Flow Transmitter (Electromagnetic) - In Line,1,,,,
5011,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC20-BF01.PH01,-,REMOTE DISPLAY - FLOW TRANSMITTER (ELECTROMAGNETIC),1,,,,
5012,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC20-BF02,-,Seawater System - Flow Transmitter (Electromagnetic) - In Line,1,,,,
5013,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC20-BF02.PH01,-,REMOTE DISPLAY - FLOW TRANSMITTER (ELECTROMAGNETIC),1,,,,
5014,PINE,OTHER,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC20-BL01,PROCESS,Seawater System - Level Transmitter,1,,,,
5015,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC20-BP10,PROCESO,Pressure Transmitter,1,,,,
5016,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC20-BP20,PROCESO,Pressure Transmitter,1,,,,
5017,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC20-BQ02,PROCESS/ANALYZER,Chlorine Analyzer,1,,,,
5018,PINE,,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC20-BQ02.PH01,,Chlorine Analyzer Remote Display,1,,,,
5019,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC20-QM01,-,Seawater System - MOV On-Off,1,,,,
5020,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC20-QM01.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5021,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC20-QM02,-,Seawater System - MOV On-Off,1,,,,
5022,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC20-QM03,-,Seawater System - MOV On-Off,1,,,,
5023,99591,OTHER,Cymi,#HKF.BW41=711.PAC20-QN01,-,Seawater System - MOV Control (2 Way),1,,,,
5024,99591,EQUIPMENT,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC20-UH02,EQUIPMENT,Seawater Lift Pumps - Terminal Box,0,,,,
5025,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC30-BF01,-,Seawater System - Flow Transmitter (Electromagnetic) - In Line,1,,,,
5026,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC30-BF01.PH01,-,REMOTE DISPLAY - FLOW TRANSMITTER (ELECTROMAGNETIC),1,,,,
5027,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC30-BF02,-,Seawater System - Flow Transmitter (Electromagnetic) - In Line,1,,,,
5028,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC30-BF02.PH01,-,REMOTE DISPLAY - FLOW TRANSMITTER (ELECTROMAGNETIC),1,,,,
5029,PINE,OTHER,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC30-BL01,PROCESS,Seawater System - Level Transmitter,1,,,,
5030,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC30-BP10,PROCESO,Pressure Transmitter,1,,,,
5031,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC30-BP20,PROCESO,Pressure Transmitter,1,,,,
5032,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC30-BQ02,PROCESS/ANALYZER,Chlorine Analyzer,1,,,,
5033,PINE,,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC30-BQ02.PH01,,Chlorine Analyzer Remote Display,1,,,,
5034,,OTHER,Cymi,#HKF.BW41=711.PAC30-QM01,-,Seawater System - MOV On-Off,1,,,,
5035,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC30-QM01.PH01,PROCESS,MOV REMOTE CONTROL STATION,1,,,,
5036,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC30-QM02,-,Seawater System - MOV On-Off,1,,,,
5037,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC30-QM02.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5038,,OTHER,Cymi,#HKF.BW41=711.PAC30-QM03,-,Seawater System - MOV On-Off,1,,,,
5039,99591,OTHER,Cymi,#HKF.BW41=711.PAC30-QN01,-,Seawater System - MOV Control (2 Way),1,,,,
5040,99591,EQUIPMENT,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC30-UH02,EQUIPMENT,Seawater Lift Pumps - Terminal Box,0,,,,
5041,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC40-BF01,-,Seawater System - Flow Transmitter (Electromagnetic) - In Line,1,,,,
5042,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC40-BF01.PH01,-,REMOTE DISPLAY - FLOW TRANSMITTER (ELECTROMAGNETIC),1,,,,
5043,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC40-BF02,-,Seawater System - Flow Transmitter (Electromagnetic) - In Line,1,,,,
5044,PINE,OTHER,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC40-BL01,PROCESS,Seawater System - Level Transmitter,1,,,,
5045,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC40-BP10,PROCESO,Pressure Transmitter,1,,,,
5046,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC40-BP20,PROCESO,Pressure Transmitter,1,,,,
5047,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC40-BQ02,PROCESS/ANALYZER,Chlorine Analyzer,1,,,,
5048,PINE,,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC40-BQ02.PH01,,Chlorine Analyzer Remote Display,1,,,,
5049,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC40-QM01,-,Seawater System - MOV On-Off,1,,,,
5050,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC40-QM01.PH01,PROCESS,MOV REMOTE CONTROL STATION,1,,,,
5051,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC40-QM02,-,Seawater System - MOV On-Off,1,,,,
5052,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAC40-QM03,-,Seawater System - MOV On-Off,1,,,,
5053,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC40-QM03.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5054,99591,OTHER,Cymi,#HKF.BW41=711.PAC40-QN01,-,Seawater System - MOV Control (2 Way),1,,,,
5055,99591,EQUIPMENT,Pine Inst y Montajes SAU,#HKF.BW41=711.PAC40-UH02,EQUIPMENT,Seawater Lift Pumps - Terminal Box,0,,,,
5056,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD10-BP01,PROCESO,Pressure Transmitter,1,,,,
5057,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD10-BP02,PROCESO,Pressure Transmitter,1,,,,
5058,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD10-BT01,-,Temperature Transmitter,1,,,,
5059,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD10-BT02,HVAC,Temperature Transmitter,1,,,,
5060,,OTHER,Cymi,#HKF.BW41=711.PAD10-QM01,-,Seawater System - MOV On-Off,1,,,,
5061,,OTHER,Cymi,#HKF.BW41=711.PAD10-QM02,-,Seawater System - MOV On-Off,1,,,,
5062,,OTHER,Cymi,#HKF.BW41=711.PAD10-QM03,-,Seawater System - MOV On-Off (4 Way),1,,,,
5063,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD20-BP01,PROCESO,Pressure Transmitter,1,,,,
5064,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD20-BP02,PROCESO,Pressure Transmitter,1,,,,
5065,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD20-BT01,HVAC,Temperature Transmitter,1,,,,
5066,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD20-BT02,HVAC,Temperature Transmitter,1,,,,
5067,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAD20-QM01,-,Seawater System - MOV On-Off,1,,,,
5068,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAD20-QM02,-,Seawater System - MOV On-Off,1,,,,
5069,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD20-QM02.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5070,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAD20-QM03,-,Seawater System - MOV On-Off (4 Way),1,,,,
5071,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD30-BP01,PROCESO,Pressure Transmitter,1,,,,
5072,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD30-BP02,PROCESO,Pressure Transmitter,1,,,,
5073,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD30-BT01,HVAC,Temperature Transmitter,1,,,,
5074,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD30-BT02,HVAC,Temperature Transmitter,1,,,,
5075,,OTHER,Cymi,#HKF.BW41=711.PAD30-QM01,-,Seawater System - MOV On-Off,1,,,,
5076,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAD30-QM02,-,Seawater System - MOV On-Off,1,,,,
5077,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD30-QM02.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5078,,OTHER,Cymi,#HKF.BW41=711.PAD30-QM03,-,Seawater System - MOV On-Off (4 Way),1,,,,
5079,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD40-BP01,-,Pressure Transmitter,1,,,,
5080,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD40-BP02,PROCESO,Pressure Transmitter,1,,,,
5081,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD40-BT01,-,Temperature Transmitter,1,,,,
5082,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD40-BT02,HVAC,Temperature Transmitter,1,,,,
5083,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAD40-QM01,-,Seawater System - MOV On-Off,1,,,,
5084,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAD40-QM02,-,Seawater System - MOV On-Off,1,,,,
5085,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAD40-QM02.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5086,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAD40-QM03,-,Seawater System - MOV On-Off (4 Way),1,,,,
5087,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH10-BF01,-,Seawater System - Flow Transmitter (Electromagnetic) - In Line,1,,,,
5088,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH10-BF01.PH01,-,REMOTE DISPLAY - FLOW TRANSMITTER (ELECTROMAGNETIC),1,,,,
5089,,OTHER,Cymi,#HKF.BW41=711.PAH10-QM01,-,Seawater System - MOV On-Off,1,,,,
5090,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH10-QM02,-,Seawater System - MOV On-Off,1,,,,
5091,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH10-QM02.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5092,,OTHER,Cymi,#HKF.BW41=711.PAH10-QM03,-,Seawater System - MOV On-Off,1,,,,
5093,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH10-UH01,-,Seawater Filters - Local Control Panel,1,,,,
5094,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH10-UH02,-,Seawater Filters - Panel,1,,,,
5095,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH20-BF01,-,Seawater System - Flow Transmitter (Electromagnetic) - In Line,1,,,,
5096,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH20-BF01.PH01,-,REMOTE DISPLAY - FLOW TRANSMITTER (ELECTROMAGNETIC),1,,,,
5097,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH20-QM01,-,Seawater System - MOV On-Off,1,,,,
5098,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH20-QM02,-,Seawater System - MOV On-Off,1,,,,
5099,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH20-QM02.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5100,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH20-QM03,-,Seawater System - MOV On-Off,1,,,,
5101,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH20-UH01,-,Seawater Filters - Local Control Panel,1,,,,
5102,99591,OTHER,Cymi,#HKF.BW41=711.PAH20-UH02,-,Seawater Filters - Panel,1,,,,
5103,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH30-BF01,-,Seawater System - Flow Transmitter (Electromagnetic) - In Line,1,,,,
5104,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH30-BF01.PH01,-,REMOTE DISPLAY - FLOW TRANSMITTER (ELECTROMAGNETIC),1,,,,
5105,,OTHER,Cymi,#HKF.BW41=711.PAH30-QM01,-,Seawater System - MOV On-Off,1,,,,
5106,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH30-QM02,-,Seawater System - MOV On-Off,1,,,,
5107,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH30-QM02.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5108,,OTHER,Cymi,#HKF.BW41=711.PAH30-QM03,-,Seawater System - MOV On-Off,1,,,,
5109,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH30-UH01,-,Seawater Filters - Local Control Panel,1,,,,
5110,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH30-UH02,-,Seawater Filters - Panel,1,,,,
5111,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH40-BF01,-,Seawater System - Flow Transmitter (Electromagnetic) - In Line,1,,,,
5112,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH40-BF01.PH01,-,REMOTE DISPLAY - FLOW TRANSMITTER (ELECTROMAGNETIC),1,,,,
5113,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH40-QM01,-,Seawater System - MOV On-Off,1,,,,
5114,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH40-QM02,-,Seawater System - MOV On-Off,1,,,,
5115,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH40-QM02.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5116,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH40-QM03,-,Seawater System - MOV On-Off,1,,,,
5117,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAH40-UH01,PROCESS,Seawater Filters - Local Control Panel,1,,,,
5118,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAH40-UH02,-,Seawater Filters - Panel,1,,,,
5119,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAX01-BF01,-,Seawater System - Flow Transmitter (Electromagnetic) - In Line,5,,,,
5120,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX01-BP01,-,Pressure Transmitter (Differential Pressure) - Master,1,,,,
5121,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX01-BP02,-,Pressure Transmitter (Differential Pressure) - Slave,1,,,,
5122,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX01-BP03,PROCESO,Pressure Transmitter,1,,,,
5123,99591,ELE,Cymi,#HKF.BW41=711.PAX01-QA01,-,MAINTENANCE SWITCH,1,,,,
5124,,OTHER,Cymi,#HKF.BW41=711.PAX01-QM01,-,Seawater System - MOV On-Off,5,,,,
5125,,OTHER,Cymi,#HKF.BW41=711.PAX01-QM02,-,Seawater System - MOV On-Off,5,,,,
5126,,OTHER,Cymi,#HKF.BW41=711.PAX01-QM03,-,Seawater System - MOV On-Off,5,,,,
5127,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX01-QM03.PH01,PROCESS,MOV REMOTE CONTROL STATION,5,,,,
5128,,OTHER,Cymi,#HKF.BW41=711.PAX01-QM04,-,Seawater System - MOV On-Off,1,,,,
5129,99591,OTHER,Cymi,#HKF.BW41=711.PAX01-QN01,-,Seawater System - MOV Control (2 Way),5,,,,
5130,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX01-UH01,PROCESS,Pump PAX01-GP01 - Local Control Panel,1,,,,
5131,99591,OTHER,,#HKF.BW41=711.PAX01-UH02,-,Seawater Auxiliary Booster Pump - Terminal Box,1,,,,
5132,99591,PIPING,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX10-BF01,PIPING,Seawater System - Flow Transmitter (Electromagnetic) - In Line,1,,,,
5133,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX10-BP01,-,Pressure Transmitter (Differential Pressure) - Master,1,,,,
5134,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX10-BP02,-,Pressure Transmitter (Differential Pressure) - Slave,1,,,,
5135,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX10-BP03,PROCESO,Pressure Transmitter,1,,,,
5136,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAX10-BP04,-,Seawater System - Pressure Transmitter (Differential Pressure),1,,,,
5137,99591,ELE,Cymi,#HKF.BW41=711.PAX10-QA01,-,MAINTENANCE SWITCH,1,43,,,
5138,,OTHER,Cymi,#HKF.BW41=711.PAX10-QM01,-,Seawater System - MOV On-Off,1,,,,
5139,,OTHER,Cymi,#HKF.BW41=711.PAX10-QM02,-,Seawater System - MOV On-Off,1,,,,
5140,,OTHER,Cymi,#HKF.BW41=711.PAX10-QM03,-,Seawater System - MOV On-Off,1,,,,
5141,,OTHER,Cymi,#HKF.BW41=711.PAX10-QM04,-,Seawater System - MOV On-Off,1,,,,
5142,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAX10-QM05,-,Seawater System - MOV On-Off,1,,,,
5143,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX10-QM05.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5144,99591,OTHER,Cymi,#HKF.BW41=711.PAX10-QN01,-,Seawater System - MOV Control (2 Way),1,,,,
5145,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX10-UH01,PROCESS,Pump PAX10-GP01 - Local Control Panel,1,,,,
5146,99591,OTHER,,#HKF.BW41=711.PAX10-UH02,-,Seawater Booster Pump - Terminal Box,1,,,,
5147,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX10-UH03,-,Seawater Auxiliary Pre-Filters - Local Control Panel,1,,,,
5148,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAX10-UH04,-,Seawater Auxiliary Pre-Filters - Panel,1,,,,
5149,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX20-BP01,-,Pressure Transmitter (Differential Pressure) - Master,1,,,,
5150,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX20-BP02,-,Pressure Transmitter (Differential Pressure) - Slave,1,,,,
5151,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX20-BP03,PROCESO,Pressure Transmitter,1,,,,
5152,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAX20-BP04,-,Seawater System - Pressure Transmitter (Differential Pressure),1,,,,
5153,99591,ELE,Cymi,#HKF.BW41=711.PAX20-QA01,-,MAINTENANCE SWITCH,1,43,,,
5154,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAX20-QM01,-,Seawater System - MOV On-Off,1,,,,
5155,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAX20-QM02,-,Seawater System - MOV On-Off,1,,,,
5156,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAX20-QM03,-,Seawater System - MOV On-Off,1,,,,
5157,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAX20-QM04,-,Seawater System - MOV On-Off,1,,,,
5158,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAX20-QM05,-,Seawater System - MOV On-Off,1,,,,
5159,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX20-QM05.PH01,-,MOV REMOTE CONTROL STATION,1,,,,
5160,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX20-UH01,PROCESS,Pump PAX20-GP01 - Local Control Panel,1,,,,
5161,99591,OTHER,,#HKF.BW41=711.PAX20-UH02,-,Seawater Booster Pump - Terminal Box,1,,,,
5162,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAX20-UH03,-,Seawater Auxiliary Pre-Filters - Local Control Panel,1,,,,
5163,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAX20-UH04,-,Seawater Auxiliary Pre-Filters - Panel,1,,,,
5164,99591,OTHER,Cymi,#HKF.BW41=711.PAY10-MA01,-,Hydrogen Dilution Fan A,1,,,,
5165,99591,OTHER,Cymi,#HKF.BW41=711.PAY10-MA02,-,Hydrogen Dilution Fan B,1,,,,
5166,99591,OTHER,Cymi,#HKF.BW41=711.PAY10-MA03,-,Dosing Pump Motor,1,,,,
5167,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAY10-UH01,-,Hypoclorite Generator Package 1 Control Panel - Cabinet,2,,,,
5168,99591,OTHER,Cymi,#HKF.BW41=711.PAY20-MA01,-,Hydrogen Dilution Fan A,1,,,,
5169,99591,OTHER,Cymi,#HKF.BW41=711.PAY20-MA02,-,Hydrogen Dilution Fan B,1,,,,
5170,99591,OTHER,Cymi,#HKF.BW41=711.PAY20-MA03,-,Dosing Pump Motor,1,,,,
5171,,OTHER,Cymi,#HKF.BW41=711.PAY20-QM14,-,Seawater System - MOV On-Off,1,,,,
5172,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAY20-QM14.PH01,PROCESS,MOV ON-OFF REMOTE CONTROL STATION,1,,,,
5173,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAY20-QM15,-,Seawater System - MOV On-Off,1,,,,
5174,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAY20-QM15.PH01,PROCESS,MOV ON-OFF REMOTE CONTROL STATION,1,,,,
5175,,OTHER,Cymi,#HKF.BW41=711.PAY20-QM16,-,Seawater System - MOV On-Off,1,,,,
5176,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAY20-QM16.PH01,PROCESS,MOV REMOTE CONTROL STATION,1,,,,
5177,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAY20-QM17,-,Seawater System - MOV On-Off,1,,,,
5178,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=711.PAY20-QM17.PH01,PROCESS,MOV ON-OFF REMOTE CONTROL STATION,1,,,,
5179,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=711.PAY20-UH01,-,Hypoclorite Generator Package 2 Control Panel - Cabinet,2,,,,
5180,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=712.PBB01-BQ01,PROCESS/ANALYZER,Conductivity Analyzer,1,,,,
5181,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=712.PBB01-BQ01.PH01,PROCESS/ANALYZER,TRANSMITTER CONDUCTIVITY ANALYZER,1,,,,
5182,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=712.PBB01-BT01,-,Temperature Transmitter,1,,,,
5183,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=712.PBB01-BT01.PH01,-,REMOTE DISPLAY - TEMPERATURE TRANSMITTER (THERMOWELL),1,,,,
5184,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=712.PBB05-BT01,-,Temperature Transmitter,5,,,,
5185,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=712.PBB05-BT02,HVAC,Temperature Transmitter,5,,,,
5186,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=712.PBB10-QM01,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5187,,OTHER,Cymi,#HKF.BW41=712.PBB10-QM02,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5188,,OTHER,Cymi,#HKF.BW41=712.PBB10-QM03,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5189,,OTHER,Cymi,#HKF.BW41=712.PBB10-QM04,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5190,,OTHER,Cymi,#HKF.BW41=712.PBB10-QM05,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5191,,OTHER,Cymi,#HKF.BW41=712.PBB10-QM06,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5192,,OTHER,Cymi,#HKF.BW41=712.PBB10-QM07,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5193,,OTHER,Cymi,#HKF.BW41=712.PBB10-QM08,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5194,,OTHER,Cymi,#HKF.BW41=712.PBB20-QM01,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5195,,OTHER,Cymi,#HKF.BW41=712.PBB20-QM02,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5196,,OTHER,Cymi,#HKF.BW41=712.PBB20-QM03,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5197,,OTHER,Cymi,#HKF.BW41=712.PBB20-QM04,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5198,,OTHER,Cymi,#HKF.BW41=712.PBB20-QM05,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5199,,OTHER,Cymi,#HKF.BW41=712.PBB20-QM06,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5200,,OTHER,Cymi,#HKF.BW41=712.PBB20-QM07,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5201,,OTHER,Cymi,#HKF.BW41=712.PBB20-QM08,-,Fresh Water Cooling System - MOV On-Off,5,,,,
5202,,OTHER,Cymi,#HKF.BW41=712.PBB31-QM11,-,Fresh Water Cooling System - MOV On-Off,1,,,,
5203,,OTHER,Cymi,#HKF.BW41=712.PBB31-QM12,-,Fresh Water Cooling System - MOV On-Off,1,,,,
5204,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=712.PBB31-QM21,-,Fresh Water Cooling System - MOV On-Off,1,,,,
5205,,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=712.PBB31-QM22,-,Fresh Water Cooling System - MOV On-Off,1,,,,
5206,,OTHER,Cymi,#HKF.BW41=712.PBB32-QM11,-,Fresh Water Cooling System - MOV On-Off,1,,,,
